line,treatment,time_point,log(Volume)_microns,Volume_micron,r^3,r (micron),ancestor,relative size increase
Anaerobe,ancestor,,4.293918215,19675.15737,4697.097827,16.74723837,16.74723837,1
L01,anaerobe,50,5.007500408,101742.0322,24289.12102,28.96035845,16.74723837,1.729261733
L02,anaerobe,50,5.101133497,126221.5464,30133.17455,31.11823545,16.74723837,1.858111455
L03,anaerobe,50,5.044426328,110771.0642,26444.64363,29.79288587,16.74723837,1.778973059
L04,anaerobe,50,5.004493206,101039.9695,24121.51589,28.89359176,16.74723837,1.725275005
L05,anaerobe,50,5.073148047,118344.4911,28252.66612,30.45695482,16.74723837,1.818625504
L01,anaerobe,100,5.177905833,150628.0426,35959.79632,33.00697628,16.74723837,1.970890696
L02,anaerobe,100,5.198742276,158030.9954,37727.12112,33.53908592,16.74723837,2.002663674
L03,anaerobe,100,5.183976672,152748.4009,36465.99458,33.16113253,16.74723837,1.980095571
L04,anaerobe,100,5.224207516,167574.3392,40005.42663,34.20106543,16.74723837,2.042191356
L05,anaerobe,100,5.212420479,163087.4263,38934.25508,33.89304773,16.74723837,2.023799207
L01,anaerobe,145,5.29112814,195491.618,46670.186,36.0036483,16.74723837,2.149825989
L02,anaerobe,145,5.3736394,236395.604,56435.2934,38.3574972,16.74723837,2.290377455
L03,anaerobe,145,5.40438183,253735.849,60574.9718,39.2733312,16.74723837,2.345063128
L04,anaerobe,145,5.31054621,204430.745,48804.2453,36.5442624,16.74723837,2.18210678
L05,anaerobe,145,5.30311318,200961.648,47976.0595,36.3363688,16.74723837,2.169693176
L01,anaerobe,200,5.390009689,245476.3682,58603.16612,38.84248679,16.74723837,2.319336832
L02,anaerobe,200,5.403937589,253476.434,60513.04114,39.25994255,16.74723837,2.344263674
L03,anaerobe,200,5.465457469,292050.1739,69721.84321,41.15819179,16.74723837,2.457610675
L04,anaerobe,200,5.356701544,227353.4474,54276.63747,37.86206629,16.74723837,2.260794613
L05,anaerobe,200,5.644514017,441076.599,105299.2815,47.2217201,16.74723837,2.819672059
L01,anaerobe,250,5.325947545,211810.5289,50566.03901,36.97881402,16.74723837,2.208054439
L02,anaerobe,250,6.023193853,1054857.64,251828.7115,63.14928162,16.74723837,3.770728058
L03,anaerobe,250,5.528910987,337995.5533,80690.49458,43.21230762,16.74723837,2.580264678
L04,anaerobe,250,5.467121449,293171.2976,69989.49178,41.21079064,16.74723837,2.460751422
L05,anaerobe,250,6.1094471,1286610.526,307155.6376,67.47136509,16.74723837,4.028805442
L01,anaerobe,300,5.382858926,241467.6334,57646.15118,38.62988709,16.74723837,2.30664222
L02,anaerobe,300,6.218896367,1655374.904,395191.648,73.38420367,16.74723837,4.381868942
L03,anaerobe,300,5.611135357,408446.6678,97509.45925,46.02730881,16.74723837,2.748352164
L04,anaerobe,300,5.701553441,502983.1551,120078.3831,49.33497856,16.74723837,2.945857548
L05,anaerobe,300,6.251347768,1783806.607,425852.4585,75.23496437,16.74723837,4.492380338
L01,anaerobe,350,5.40189158,252285.0872,60228.62804,39.19833831,16.74723837,2.340585202
L02,anaerobe,350,7.612441757,40967716.44,9780321.868,213.8541664,16.74723837,12.76951827
L03,anaerobe,350,5.474867589,298447.2549,71249.0338,41.45653432,16.74723837,2.475425106
L04,anaerobe,350,5.90294371,799730.5937,190921.6157,57.58177307,16.74723837,3.438284677
L05,anaerobe,350,7.095282445,12453242.5,2972992.652,143.7908591,16.74723837,8.585944496
L01,anaerobic,400,5.734628126,542785.3603,129580.4597,50.60341644,16.74723837,3.02159767
L02,anaerobic,400,5.767220769,585087.431,139679.3352,51.88526666,16.74723837,3.098138661
L03,anaerobic,400,5.788168559,614000.2658,146581.766,52.72622152,16.74723837,3.1483532
L04,anaerobic,400,5.968091107,929161.2873,221820.9177,60.53420352,16.74723837,3.614578248
L05,anaerobic,400,8.295614504,197521558.7,47154798.65,361.2783734,16.74723837,21.57241483
L01,anaerobe,450,6.131560627,1353819.07,323200.4956,68.62631394,16.74723837,4.097768983
L02,anaerobe,450,7.854263609,71493014.41,17067699.96,257.4690318,16.74723837,15.37382022
L03,anaerobe,450,6.097436389,1251515.951,298777.4249,66.85223431,16.74723837,3.991836316
L04,anaerobe,450,5.73527554,543595.102,129773.771,50.6285678,16.74723837,3.023099491
L05,anaerobe,450,8.397801447,249920250.4,59664064.84,390.754762,16.74723837,23.33248942
L01,anaerobe,500,7.716353901,52041990.71,12424110.1,231.6088217,16.74723837,13.82967249
L02,anaerobe,500,8.410399643,257276218.3,61420172.82,394.5514811,16.74723837,23.55919659
L03,anaerobe,500,6.526715727,3362913.737,802836.5167,92.94136346,16.74723837,5.549653107
L04,anaerobe,500,8.022120159,105225296.8,25120689.19,292.8715484,16.74723837,17.48775183
L05,anaerobe,500,8.528228108,337464511.6,80563717.71,431.8966476,16.74723837,25.78912643
L01,anaerobe,550,8.324138269,210929959.5,50355818.55,369.2749829,16.74723837,22.04990308
L02,anaerobe,550,8.569903782,371452924.9,88677853.69,445.9351687,16.74723837,26.62738529
L03,anaerobe,550,7.111577128,12929362.98,3086658.044,145.600491,16.74723837,8.694000036
L04,anaerobe,550,8.343007788,220296596.6,52591938.44,374.6620682,16.74723837,22.37157315
L05,anaerobe,550,8.035992763,108640751.9,25936069.03,296.0065931,16.74723837,17.67494954
L01,anaerobe,600,8.532227411,340586485.1,81309033.98,433.2244248,16.74723837,25.86840978
L02,anaerobe,600,8.911833906,816270131.9,194870139.6,579.7602453,16.74723837,34.61825959
L03,anaerobe,600,8.003572566,100826006.4,24070435.97,288.7318225,16.74723837,17.24056326
L04,anaerobe,600,8.466127365,292501006.9,69829471.66,411.7935931,16.74723837,24.58874616
L05,anaerobe,600,8.601276,399278568.9,95320736.87,456.8031924,16.74723837,27.27632952